fiscal_year,agency,state,value
20160611,三統食品有限公司,味味美食有限公司,1
20160611,泓霖食品有限公司,味味美食有限公司,1
20200108,玖億珍鮮食品有限公司,統鮮美食股份有限公司,1
20200113,泓霖食品工業有限公司,上將食品有限公司,1
20200115,大成長城企業股份有限公司,上將食品有限公司,1
20200131,大成長城企業股份有限公司柳營肉品廠,上將食品有限公司,1
20200131,大成長城企業股份有限公司,上將食品有限公司,1
20200211,大成長城企業股份有限公司柳營肉品廠,上將食品有限公司,1
20200213,大成長城企業股份有限公司柳營肉品廠,上將食品有限公司,1
20200220,東昇米糧食品有限公司,統鮮美食股份有限公司,1
20200221,澤宇冷凍食品有限公司,上將食品有限公司,1
20200221,大成長城企業股份有限公司柳營肉品廠,上將食品有限公司,1
20200222,萬偉股份有限公司,上將食品有限公司,1
20200224,泓霖食品有限公司,久翔食品股份有限公司,1
20200224,三統食品有限公司,久翔食品股份有限公司,1
20200225,大成長城企業股份有限公司柳營肉品廠,上將食品有限公司,1
20200226,泓霖食品工業有限公司,上將食品有限公司,1
20200226,萬偉股份有限公司,上將食品有限公司,2
20200227,冠霖物流有限公司,宏遠國際餐飲股份有限公司,1
20200227,三統食品有限公司,久翔食品股份有限公司,1
20200227,三統食品有限公司,宏遠國際餐飲股份有限公司,1
20200227,中華民國全國漁會,上將食品有限公司,1
20200227,家騏有限公司,久翔食品股份有限公司,3
20200227,萬偉股份有限公司,久翔食品股份有限公司,1
20200227,復進企業股份有限公司,統鮮美食股份有限公司,1
20200227,家騏有限公司,統鮮美食股份有限公司,1
20200227,冠霖物流有限公司,上將食品有限公司,2
20200227,復進企業股份有限公司,全盛美食有限公司,2
20200227,中華民國全國漁會,全盛美食有限公司,1
20200227,冠霖物流有限公司,統鮮美食股份有限公司,1
20200227,川武食品股份有限公司,久翔食品股份有限公司,2
20200227,萬偉股份有限公司,宏遠國際餐飲股份有限公司,1
20200227,泓霖食品工業有限公司,宏遠國際餐飲股份有限公司,1
20200227,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,1
20200227,今元肉品股份有限公司,久翔食品股份有限公司,1
20200227,源泉興食品有限公司,宏遠國際餐飲股份有限公司,1
20200228,萬偉股份有限公司,上將食品有限公司,2
20200228,大成長城企業股份有限公司柳營肉品廠,上將食品有限公司,1
20200228,冠霖物流有限公司,上將食品有限公司,1
20200229,三統食品有限公司,全盛美食有限公司,1
20200229,超秦企業股份有限公司,全盛美食有限公司,3
20200229,三統食品有限公司,統鮮美食股份有限公司,2
20200229,上耀商行,上將食品有限公司,1
20200229,鼎耀國際食品股份有限公司,統鮮美食股份有限公司,1
20200301,百士達食品有限公司,愛欣食品有限公司,1
20200301,冠霖物流有限公司,愛欣食品有限公司,1
20200301,泓霖食品工業有限公司,上將食品有限公司,1
20200302,家騏有限公司,久翔食品股份有限公司,3
20200302,冠霖物流有限公司,愛欣食品有限公司,1
20200302,泓霖食品有限公司,味味美食有限公司,1
20200302,復進企業股份有限公司,沅益食品有限公司,1
20200302,台全珍豬工業股份有限公司,雙翼食品有限公司,2
20200302,冠霖物流有限公司,雙翼食品有限公司,1
20200302,澤宇冷凍食品有限公司,寬大食品有限公司,3
20200302,三統食品有限公司,久翔食品股份有限公司,1
20200302,上德食品有限公司,統鮮美食股份有限公司,1
20200302,北記企業社,上將食品有限公司,1
20200302,中央畜產有限公司,雙翼食品有限公司,1
20200302,巨富食品股份有限公司,食家安飲食文化股份有限公司,3
20200302,瑞飛興業有限公司,雙翼食品有限公司,2
20200302,中華民國全國漁會,食家安飲食文化股份有限公司,1
20200302,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,2
20200302,慶鐘佳味食品股份有限公司,久翔食品股份有限公司,1
20200302,三統食品有限公司,珍品軒食品有限公司,1
20200302,今元肉品股份有限公司,雙翼食品有限公司,2
20200302,三統食品有限公司,上將食品有限公司,1
20200302,家騏有限公司,全盛美食有限公司,2
20200302,樂廚食品行,沅益食品有限公司,1
20200302,達營食品有限公司,上將食品有限公司,1
20200302,上德食品有限公司,上將食品有限公司,1
20200302,明嵩企業社,上將食品有限公司,1
20200302,冠霖物流有限公司,上將食品有限公司,2
20200302,冠霖物流有限公司,統鮮美食股份有限公司,1
20200302,泓霖食品有限公司,久翔食品股份有限公司,3
20200302,澤宇冷凍食品有限公司,味味美食有限公司,2
20200302,佳晉食品有限公司,沅益食品有限公司,1
20200302,洽富實業股份有限公司,食家安飲食文化股份有限公司,2
20200302,祥圃實業股份有限公司,食家安飲食文化股份有限公司,1
20200302,三統食品有限公司,愛欣食品有限公司,2
20200302,百士達食品有限公司,愛欣食品有限公司,2
20200302,泓霖食品工業有限公司,上將食品有限公司,2
20200302,東昇米糧食品有限公司,統鮮美食股份有限公司,1
20200302,桂冠實業股份有限公司,珍品軒食品有限公司,1
20200303,今元肉品股份有限公司,雙翼食品有限公司,1
20200303,道霖有限公司,沅益食品有限公司,1
20200303,中央畜產有限公司,雙翼食品有限公司,1
20200303,上德食品有限公司,久翔食品股份有限公司,1
20200303,巨富食品股份有限公司,食家安飲食文化股份有限公司,3
20200303,泓霖食品有限公司,味味美食有限公司,2
20200303,萬偉股份有限公司,上將食品有限公司,1
20200303,十方物聯有限公司,統鮮美食股份有限公司,1
20200303,三統食品有限公司,珍品軒食品有限公司,1
20200303,台全珍豬工業股份有限公司,雙翼食品有限公司,1
20200303,尚品肉鬆實業有限公司,上將食品有限公司,1
20200303,澤宇冷凍食品有限公司,寬大食品有限公司,3
20200303,巨富工業有限公司,寬大食品有限公司,1
20200303,祥亮行銷事業股份有限公司,久翔食品股份有限公司,1
20200303,鼎耀食品股份有限公司,統鮮美食股份有限公司,1
20200303,冠霖物流有限公司,雙翼食品有限公司,1
20200303,泓霖食品工業有限公司,全盛美食有限公司,1
20200303,三統食品有限公司,久翔食品股份有限公司,1
20200303,泓霖食品工業有限公司,上將食品有限公司,4
20200303,鼎耀食品股份有限公司,久翔食品股份有限公司,1
20200303,冠霖物流有限公司,上將食品有限公司,1
20200303,祥圃實業股份有限公司,食家安飲食文化股份有限公司,2
20200303,百士達食品有限公司,統鮮美食股份有限公司,1
20200303,泓霖食品有限公司,久翔食品股份有限公司,4
20200303,家品商行,全盛美食有限公司,1
20200303,三統食品有限公司,愛欣食品有限公司,1
20200303,玖億珍鮮食品有限公司,統鮮美食股份有限公司,1
20200303,澤宇冷凍食品有限公司,愛欣食品有限公司,1
20200303,冠霖物流有限公司,統鮮美食股份有限公司,2
20200303,道霖有限公司,雙翼食品有限公司,1
20200303,百士達食品有限公司,愛欣食品有限公司,1
20200303,上德食品有限公司,上將食品有限公司,1
20200303,三統食品有限公司,上將食品有限公司,1
20200303,上耀商行,統鮮美食股份有限公司,1
20200303,盛隆食品有限公司,愛欣食品有限公司,2
20200303,萬偉股份有限公司,全盛美食有限公司,1
20200304,中華民國全國漁會,雙翼食品有限公司,1
20200304,三統食品有限公司,沅益食品有限公司,1
20200304,中央畜產有限公司,雙翼食品有限公司,1
20200304,上耀商行,上將食品有限公司,1
20200304,三橋食品股份有限公司,久翔食品股份有限公司,1
20200304,安得利食品股份有限公司,久翔食品股份有限公司,1
20200304,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,3
20200304,澤宇冷凍食品有限公司,寬大食品有限公司,2
20200304,十方物聯有限公司,久翔食品股份有限公司,1
20200304,三橋食品股份有限公司,雙翼食品有限公司,2
20200304,家騏有限公司,沅益食品有限公司,1
20200304,上德食品有限公司,上將食品有限公司,1
20200304,上耀商行,統鮮美食股份有限公司,1
20200304,百士達食品有限公司,愛欣食品有限公司,3
20200304,冠霖物流有限公司,愛欣食品有限公司,1
20200304,家騏有限公司,久翔食品股份有限公司,3
20200304,展昇生鮮企業股份有限公司,久翔食品股份有限公司,1
20200304,泓霖食品有限公司,味味美食有限公司,2
20200304,冠霖物流有限公司,上將食品有限公司,1
20200304,祥圃實業股份有限公司,食家安飲食文化股份有限公司,1
20200304,上德食品有限公司,統鮮美食股份有限公司,1
20200304,冠霖物流有限公司,統鮮美食股份有限公司,1
20200304,三統食品有限公司,愛欣食品有限公司,1
20200304,明嵩企業社,上將食品有限公司,1
20200304,上德食品有限公司,久翔食品股份有限公司,1
20200304,三統食品有限公司,珍品軒食品有限公司,2
20200304,洽富實業股份有限公司,雙翼食品有限公司,1
20200304,蒸健康國際餐飲有限公司,久翔食品股份有限公司,1
20200304,盛隆食品有限公司,愛欣食品有限公司,1
20200304,台灣卜蜂企業股份有限公司,雙翼食品有限公司,1
20200304,佳晉食品有限公司,沅益食品有限公司,1
20200304,澤宇冷凍食品有限公司,味味美食有限公司,2
20200304,萬偉股份有限公司,上將食品有限公司,2
20200304,泓霖食品工業有限公司,上將食品有限公司,3
20200304,泰安食品股份有限公司,上將食品有限公司,1
20200304,新力香食品有限公司,寬大食品有限公司,1
20200304,鼎耀食品股份有限公司,久翔食品股份有限公司,1
20200304,北記企業社,久翔食品股份有限公司,1
20200304,家騏有限公司,統鮮美食股份有限公司,1
20200304,泓霖食品有限公司,久翔食品股份有限公司,1
20200304,洽富實業股份有限公司,食家安飲食文化股份有限公司,1
20200304,台全珍豬工業股份有限公司,雙翼食品有限公司,2
20200305,三統食品有限公司,愛欣食品有限公司,1
20200305,泓霖食品工業有限公司,上將食品有限公司,1
20200305,中央畜產有限公司,雙翼食品有限公司,1
20200305,超秦企業股份有限公司,全盛美食有限公司,2
20200305,東昇米糧食品有限公司,統鮮美食股份有限公司,2
20200305,泓霖食品有限公司,久翔食品股份有限公司,1
20200305,雅勝冷凍食品股份有限公司,久翔食品股份有限公司,1
20200305,三統食品有限公司,全盛美食有限公司,1
20200305,家騏有限公司,久翔食品股份有限公司,2
20200305,冠霖物流有限公司,上將食品有限公司,2
20200305,冠霖物流有限公司,全盛美食有限公司,2
20200305,樂廚食品行,沅益食品有限公司,2
